P,epsilon,N,budget,min_prize,max_prize,g,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_1_EL,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_2_EL,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_3_EL,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_4_EL,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_5_EL,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_6_EL,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_7_EL,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_8_EL,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_9_EL
10,10,500,40,10,20,1,17,11,11,15,15,19,12,17,12,16,4 7,2,0.26936463003340794,0.06217872265197895,0,0,0,4 7,2,0.26936463003340794,0.06217872265197895,0,0,0,4 7,2,0.26936463003340794,0.06217872265197895,0,0,0,4 7,2,0.26936463003340794,0.06217872265197895,0,0,0,4 7,2,0.26936463003340794,0.06217872265197895,0,0,0,4 7,2,0.26936463003340794,0.06217872265197895,0,0,0,4 7,2,0.26936463003340794,0.06217872265197895,0,0,0,4 7,2,0.26936463003340794,0.06217872265197895,0,0,0,8 1 7,3,0.34705593652788436,0.10479275126166132,0,0,0
10,10,500,40,10,20,1,15,15,12,12,19,12,15,15,17,12,8 3,2,0.2559938109158562,0.049246687643098655,0,0,0,8 3,2,0.2559938109158562,0.049246687643098655,0,0,0,8 3,2,0.2559938109158562,0.049246687643098655,0,0,0,8 3,2,0.2559938109158562,0.049246687643098655,0,0,0,8 3,2,0.2559938109158562,0.049246687643098655,0,0,0,8 3,2,0.2559938109158562,0.049246687643098655,0,0,0,8 4,2,0.23661222267974807,0.06680953604945356,0,0,0,8 5,2,0.24283598519843344,0.027641341009411808,0,0,0,8 3,2,0.2559938109158562,0.049246687643098655,0,0,0
10,10,500,40,10,20,1,12,17,18,14,14,17,13,15,12,16,1 2,2,0.24843347182643097,0.0708620390041769,0,0,0,1 2,2,0.24843347182643097,0.0708620390041769,0,0,0,1 2,2,0.24843347182643097,0.0708620390041769,0,0,0,1 2,2,0.24843347182643097,0.0708620390041769,0,0,0,1 2,2,0.24843347182643097,0.0708620390041769,0,0,0,1 2,2,0.24843347182643097,0.0708620390041769,0,0,0,1 2,2,0.24843347182643097,0.0708620390041769,0,0,0,9 2,2,0.23509594584158916,0.03428823221206201,0,0,0,9 2,2,0.23509594584158916,0.03428823221206201,0,0,0
10,10,500,40,10,20,1,14,15,12,12,10,16,12,13,14,18,0 3 6,3,0.34015402746585294,0.14211923601645055,0,0,0,0 3 6,3,0.34015402746585294,0.14211923601645055,0,0,0,9 3 4,3,0.3207161259467402,0.12191833431740928,0,0,0,0 9,2,0.2269947810168514,0.023833262631044086,0,0,0,9 3 4,3,0.3207161259467402,0.12191833431740928,0,0,0,0 1 4,3,0.3075413923292754,0.031633763228029105,0,0,0,0 3 6,3,0.34015402746585294,0.14211923601645055,0,0,0,0 3 6,3,0.34015402746585294,0.14211923601645055,0,0,0,9 3 4,3,0.3207161259467402,0.12191833431740928,0,0,0
10,10,500,40,10,20,1,17,16,11,12,12,19,19,10,19,14,8 3,2,0.22809742849569137,0.03335202944933208,0,0,0,9 3 7,3,0.3275688469110043,0.1027337697405567,0,0,0,8 3,2,0.22809742849569137,0.03335202944933208,0,0,0,3 6,2,0.2301290071976448,0.0647537423797285,0,0,0,0 3 7,3,0.3348676089464872,0.1287620195766976,0,0,0,0 3 7,3,0.3348676089464872,0.1287620195766976,0,0,0,0 6,2,0.21729252399997231,0.03528870053593566,0,0,0,3 6,2,0.2301290071976448,0.0647537423797285,0,0,0,3 6,2,0.2301290071976448,0.0647537423797285,0,0,0
10,10,500,40,10,20,1,13,11,16,16,11,19,15,10,16,19,0 6 7,3,0.3620749451249404,0.1660534870003695,0,0,0,0 1 6,3,0.35895049614878016,0.12667380881392343,0,0,0,0 1 6,3,0.35895049614878016,0.12667380881392343,0,0,0,0 6 7,3,0.3620749451249404,0.1660534870003695,0,0,0,0 5,2,0.23420844519109585,0.0009122397330160907,0,0,0,0 1 7,3,0.3590708568873462,0.0883035756511405,0,0,0,0 6 7,3,0.3620749451249404,0.1660534870003695,0,0,0,0 1 7,3,0.3590708568873462,0.0883035756511405,0,0,0,0 6 7,3,0.3620749451249404,0.1660534870003695,0,0,0
10,10,500,40,10,20,1,12,18,18,10,17,19,14,16,10,13,1 5,2,0.24282157941025148,0.001466356402275845,0,0,0,1 5,2,0.24282157941025148,0.001466356402275845,0,0,0,1 5,2,0.24282157941025148,0.001466356402275845,0,0,0,1 5,2,0.24282157941025148,0.001466356402275845,0,0,0,1 5,2,0.24282157941025148,0.001466356402275845,0,0,0,1 5,2,0.24282157941025148,0.001466356402275845,0,0,0,1 6,2,0.243422216603009,0.022523890325158467,0,0,0,1 6,2,0.243422216603009,0.022523890325158467,0,0,0,1 6,2,0.243422216603009,0.022523890325158467,0,0,0
10,10,500,40,10,20,1,17,16,13,12,13,16,16,14,17,17,9 6,2,0.23864637610348002,0.0066624216871002005,0,0,0,9 6,2,0.23864637610348002,0.0066624216871002005,0,0,0,9 5,2,0.24463252773804722,0.03901801005427381,0,0,0,9 5,2,0.24463252773804722,0.03901801005427381,0,0,0,9 5,2,0.24463252773804722,0.03901801005427381,0,0,0,9 5,2,0.24463252773804722,0.03901801005427381,0,0,0,9 5,2,0.24463252773804722,0.03901801005427381,0,0,0,9 5,2,0.24463252773804722,0.03901801005427381,0,0,0,9 5,2,0.24463252773804722,0.03901801005427381,0,0,0
10,10,500,40,10,20,1,11,12,13,18,16,13,17,17,10,18,6 7,2,0.24113913839740195,0.0446920733507573,0,0,0,6 7,2,0.24113913839740195,0.0446920733507573,0,0,0,4 6,2,0.24048315037327037,0.05106710786156881,0,0,0,6 7,2,0.24113913839740195,0.0446920733507573,0,0,0,3 6,2,0.24219757854265045,0.06866295402472913,0,0,0,3 6,2,0.24219757854265045,0.06866295402472913,0,0,0,3 6,2,0.24219757854265045,0.06866295402472913,0,0,0,4 6,2,0.24048315037327037,0.05106710786156881,0,0,0,4 6,2,0.24048315037327037,0.05106710786156881,0,0,0
10,10,500,40,10,20,1,15,14,10,16,16,15,18,17,10,17,0 4,2,0.26605530573952724,0.067173458213306,0,0,0,0 9,2,0.2602358130216275,0.058864984477098224,0,0,0,9 4,2,0.27070781629172946,0.08972666178308031,0,0,0,9 4,2,0.27070781629172946,0.08972666178308031,0,0,0,9 4,2,0.27070781629172946,0.08972666178308031,0,0,0,9 5,2,0.2613555037049947,0.05880724481535725,0,0,0,9 5,2,0.2613555037049947,0.05880724481535725,0,0,0,4 5,2,0.2671749964228944,0.0993683460011141,0,0,0,4 5,2,0.2671749964228944,0.0993683460011141,0,0,0
10,10,500,40,10,20,1,17,14,12,14,18,18,18,12,16,17,9 3,2,0.23371121910705328,0.0440494840245916,0,0,0,9 3,2,0.23371121910705328,0.0440494840245916,0,0,0,9 3,2,0.23371121910705328,0.0440494840245916,0,0,0,9 3,2,0.23371121910705328,0.0440494840245916,0,0,0,9 3,2,0.23371121910705328,0.0440494840245916,0,0,0,9 3,2,0.23371121910705328,0.0440494840245916,0,0,0,9 3,2,0.23371121910705328,0.0440494840245916,0,0,0,3 4,2,0.22549575184509607,0.02214101605611103,0,0,0,8 3,2,0.22540887094456308,0.020244229820816598,0,0,0
10,10,500,40,10,20,1,12,10,12,16,11,10,10,10,12,10,2 4 7,3,0.34313889007727333,0.13059290940787088,0,0,0,0 2 7,3,0.3382010599030197,0.14309295345273623,0,0,0,2 6 7,3,0.34375090575333395,0.10762788877005638,0,0,0,0 2 6,3,0.3306682010765848,0.11094771814162244,0,0,0,2 6 7,3,0.34375090575333395,0.10762788877005638,0,0,0,2 6 7,3,0.34375090575333395,0.10762788877005638,0,0,0,2 4 7,3,0.34313889007727333,0.13059290940787088,0,0,0,2 6 7,3,0.34375090575333395,0.10762788877005638,0,0,0,2 6 7,3,0.34375090575333395,0.10762788877005638,0,0,0
