P,epsilon,N,budget,min_prize,max_prize,g,avg_len,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_10_winners,k_10_num_winners,k_10_util,k_10_egal,k_10_nash,k_10_comp,k_11_winners,k_11_num_winners,k_11_util,k_11_egal,k_11_nash,k_11_comp,k_12_winners,k_12_num_winners,k_12_util,k_12_egal,k_12_nash,k_12_comp,k_13_winners,k_13_num_winners,k_13_util,k_13_egal,k_13_nash,k_13_comp,k_14_winners,k_14_num_winners,k_14_util,k_14_egal,k_14_nash,k_14_comp,k_15_winners,k_15_num_winners,k_15_util,k_15_egal,k_15_nash,k_15_comp,k_16_winners,k_16_num_winners,k_16_util,k_16_egal,k_16_nash,k_16_comp,k_17_winners,k_17_num_winners,k_17_util,k_17_egal,k_17_nash,k_17_comp,k_18_winners,k_18_num_winners,k_18_util,k_18_egal,k_18_nash,k_18_comp,k_19_winners,k_19_num_winners,k_19_util,k_19_egal,k_19_nash,k_19_comp
20,10,500,40,15,25,1,2.0,20,16,16,21,19,23,16,16,17,24,19,20,16,16,16,21,19,19,23,15,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504,9 7,2,0.11078227984886681,0.030963914751128377,-2.2385972870555886,5.152,9 14,2,0.11372401875607352,0.040977758203088216,-2.209700070339637,5.504
20,10,500,40,15,25,1,2.0,23,16,15,20,20,20,22,20,24,21,16,21,19,19,19,15,18,21,21,19,6 15,2,0.11715747377637284,0.024574369891256394,-2.182102243386049,5.92,6 15,2,0.11715747377637284,0.024574369891256394,-2.182102243386049,5.92,6 15,2,0.11715747377637284,0.024574369891256394,-2.182102243386049,5.92,6 15,2,0.11715747377637284,0.024574369891256394,-2.182102243386049,5.92,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,6 15,2,0.11715747377637284,0.024574369891256394,-2.182102243386049,5.92,9 19,2,0.12027036698339406,0.02068674643705264,-2.155991935024104,7.436,6 15,2,0.11715747377637284,0.024574369891256394,-2.182102243386049,5.92,6 15,2,0.11715747377637284,0.024574369891256394,-2.182102243386049,5.92,6 15,2,0.11715747377637284,0.024574369891256394,-2.182102243386049,5.92
20,10,500,40,15,25,1,2.0,16,21,22,17,23,17,22,24,18,20,17,17,20,21,15,20,20,22,24,19,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,9 15,2,0.11652428663491363,0.022999549037754835,-2.188621497810471,7.04,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,9 15,2,0.11652428663491363,0.022999549037754835,-2.188621497810471,7.04,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 15,2,0.11643297898701363,0.0363043260941034,-2.190668168126971,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 9,2,0.11738433927594621,0.0269865241142662,-2.1775322008060622,7.3,8 15,2,0.11643297898701363,0.0363043260941034,-2.190668168126971,7.3
20,10,500,40,15,25,1,2.0,22,19,15,21,21,16,22,17,22,15,17,21,18,23,16,18,17,23,22,20,2 13,2,0.1161591831826128,0.02877491891288017,-2.19397732543397,6.04,10 13,2,0.11649040145243791,0.033544682552861624,-2.187363473237736,6.348,2 13,2,0.1161591831826128,0.02877491891288017,-2.19397732543397,6.04,10 13,2,0.11649040145243791,0.033544682552861624,-2.187363473237736,6.348,2 13,2,0.1161591831826128,0.02877491891288017,-2.19397732543397,6.04,2 13,2,0.1161591831826128,0.02877491891288017,-2.19397732543397,6.04,10 13,2,0.11649040145243791,0.033544682552861624,-2.187363473237736,6.348,2 13,2,0.1161591831826128,0.02877491891288017,-2.19397732543397,6.04,2 13,2,0.1161591831826128,0.02877491891288017,-2.19397732543397,6.04,2 13,2,0.1161591831826128,0.02877491891288017,-2.19397732543397,6.04,6 15,2,0.11498171896422765,0.028492513858846207,-2.1983381719724804,5.848,6 15,2,0.11498171896422765,0.028492513858846207,-2.1983381719724804,5.848,6 15,2,0.11498171896422765,0.028492513858846207,-2.1983381719724804,5.848,10 6,2,0.11556117782999349,0.03309327460515621,-2.19283896597902,5.988,10 6,2,0.11556117782999349,0.03309327460515621,-2.19283896597902,5.988,10 13,2,0.11649040145243791,0.033544682552861624,-2.187363473237736,6.348,10 13,2,0.11649040145243791,0.033544682552861624,-2.187363473237736,6.348,10 13,2,0.11649040145243791,0.033544682552861624,-2.187363473237736,6.348,10 13,2,0.11649040145243791,0.033544682552861624,-2.187363473237736,6.348
20,10,500,40,15,25,1,2.0,19,18,23,23,22,23,22,15,17,17,24,17,19,21,21,24,23,24,20,22,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34,1 14,2,0.11744030421455406,0.03223184380369483,-2.175835379573921,8.07,1 14,2,0.11744030421455406,0.03223184380369483,-2.175835379573921,8.07,1 14,2,0.11744030421455406,0.03223184380369483,-2.175835379573921,8.07,1 14,2,0.11744030421455406,0.03223184380369483,-2.175835379573921,8.07,1 14,2,0.11744030421455406,0.03223184380369483,-2.175835379573921,8.07,1 4,2,0.11206515168660582,0.030320768157667887,-2.227608475921556,6.424,11 5,2,0.11559662161734334,0.024430096988944883,-2.1967228714632,7.34
20,10,500,40,15,25,1,2.0,22,23,18,17,20,15,22,17,23,22,15,21,20,23,19,21,17,16,15,17,17 15,2,0.11525741563438126,0.028380597300013535,-2.1963152107367905,5.87,17 13,2,0.11613525678276287,0.024876574075609618,-2.1919978915899523,5.968,17 19,2,0.11567460128725718,0.024686762482535082,-2.190775084967085,6.928,17 19,2,0.11567460128725718,0.024686762482535082,-2.190775084967085,6.928,17 19,2,0.11567460128725718,0.024686762482535082,-2.190775084967085,6.928,17 19,2,0.11567460128725718,0.024686762482535082,-2.190775084967085,6.928,17 19,2,0.11567460128725718,0.024686762482535082,-2.190775084967085,6.928,0 17,2,0.11584082383958128,0.03143514898362858,-2.188875712027344,5.636,17 13,2,0.11613525678276287,0.024876574075609618,-2.1919978915899523,5.968,0 17,2,0.11584082383958128,0.03143514898362858,-2.188875712027344,5.636,0 19,2,0.11467622730775243,0.021858505028975253,-2.204083386723538,5.78,0 17,2,0.11584082383958128,0.03143514898362858,-2.188875712027344,5.636,0 17,2,0.11584082383958128,0.03143514898362858,-2.188875712027344,5.636,0 17,2,0.11584082383958128,0.03143514898362858,-2.188875712027344,5.636,0 17,2,0.11584082383958128,0.03143514898362858,-2.188875712027344,5.636,0 19,2,0.11467622730775243,0.021858505028975253,-2.204083386723538,5.78,0 19,2,0.11467622730775243,0.021858505028975253,-2.204083386723538,5.78,17 15,2,0.11525741563438126,0.028380597300013535,-2.1963152107367905,5.87,17 4,2,0.11037478327089684,0.02180054717812453,-2.244091381777005,5.112
20,10,500,40,15,25,1,2.0,19,20,17,16,19,15,23,15,20,22,18,15,20,15,23,23,22,19,22,23,10 7,2,0.11472190716554971,0.025539799442336315,-2.20630958998945,6.816,10 7,2,0.11472190716554971,0.025539799442336315,-2.20630958998945,6.816,17 10,2,0.11720499378035118,0.03149962617452809,-2.1794694536184003,7.064,17 10,2,0.11720499378035118,0.03149962617452809,-2.1794694536184003,7.064,10 3,2,0.11736767366828951,0.024508121535812923,-2.178973048254425,6.896,10 3,2,0.11736767366828951,0.024508121535812923,-2.178973048254425,6.896,10 3,2,0.11736767366828951,0.024508121535812923,-2.178973048254425,6.896,10 3,2,0.11736767366828951,0.024508121535812923,-2.178973048254425,6.896,10 3,2,0.11736767366828951,0.024508121535812923,-2.178973048254425,6.896,10 3,2,0.11736767366828951,0.024508121535812923,-2.178973048254425,6.896,10 3,2,0.11736767366828951,0.024508121535812923,-2.178973048254425,6.896,10 3,2,0.11736767366828951,0.024508121535812923,-2.178973048254425,6.896,10 11,2,0.11627479690041193,0.027294673979642234,-2.1900768623848985,6.786,17 10,2,0.11720499378035118,0.03149962617452809,-2.1794694536184003,7.064,10 11,2,0.11627479690041193,0.027294673979642234,-2.1900768623848985,6.786,10 11,2,0.11627479690041193,0.027294673979642234,-2.1900768623848985,6.786,10 11,2,0.11627479690041193,0.027294673979642234,-2.1900768623848985,6.786,10 11,2,0.11627479690041193,0.027294673979642234,-2.1900768623848985,6.786,17 10,2,0.11720499378035118,0.03149962617452809,-2.1794694536184003,7.064
20,10,500,40,15,25,1,1.9770114942528736,17,22,21,22,22,19,22,24,20,17,19,22,21,18,23,22,18,17,24,19,16 0,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,16 13,2,0.11857394904588281,0.026853869233917145,-2.1691863882135087,8.748,16 0,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,16 0,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,16 0,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,16 0,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,16 0,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,0 16,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,0 1,2,0.11860816389114134,0.03388090924848755,-2.1678837047197987,6.642,16 1,2,0.1193752969147415,0.03416607722467073,-2.156098720384588,7.168,0 16,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,16 0,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,0 16,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,16 0,2,0.1205568956467038,0.03908831552943481,-2.147921415427844,8.618,0 1,2,0.11860816389114134,0.03388090924848755,-2.1678837047197987,6.642,16 5,2,0.11915718172591402,0.03149798458220376,-2.1594721181882663,7.726,0 5,2,0.11839004870231386,0.039397067438565886,-2.1646918597229434,7.2,0 5,2,0.11839004870231386,0.039397067438565886,-2.1646918597229434,7.2,16 1,2,0.1193752969147415,0.03416607722467073,-2.156098720384588,7.168
20,10,500,40,15,25,1,2.0,24,17,21,17,20,22,15,17,17,21,21,21,20,21,24,15,17,24,15,16,18 12,2,0.11524261237905904,0.02319583923066483,-2.1973567188752723,6.87,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102,0 18,2,0.11820180915025903,0.03603369693230944,-2.1714040471261944,6.102
20,10,500,40,15,25,1,2.0,22,22,19,24,18,17,21,16,20,18,15,22,22,17,15,16,17,17,18,19,11 4,2,0.11401055044613388,0.02148113606369241,-2.2131588701856275,6.64,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 15,2,0.11439587685793427,0.019673503319025537,-2.210153386256362,6.608,11 15,2,0.11439587685793427,0.019673503319025537,-2.210153386256362,6.608,11 15,2,0.11439587685793427,0.019673503319025537,-2.210153386256362,6.608,11 15,2,0.11439587685793427,0.019673503319025537,-2.210153386256362,6.608,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,11 7,2,0.11575332274118748,0.03600599424515241,-2.196494274363956,7.088,16 11,2,0.1144614413696951,0.015993564625835933,-2.2101602928973327,6.768
