P,epsilon,N,budget,min_prize,max_prize,g,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_1_EL,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_2_EL,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_3_EL,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_4_EL,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_5_EL,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_6_EL,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_7_EL,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_8_EL,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_9_EL,k_10_winners,k_10_num_winners,k_10_util,k_10_egal,k_10_nash,k_10_comp,k_10_EL,k_11_winners,k_11_num_winners,k_11_util,k_11_egal,k_11_nash,k_11_comp,k_11_EL,k_12_winners,k_12_num_winners,k_12_util,k_12_egal,k_12_nash,k_12_comp,k_12_EL,k_13_winners,k_13_num_winners,k_13_util,k_13_egal,k_13_nash,k_13_comp,k_13_EL,k_14_winners,k_14_num_winners,k_14_util,k_14_egal,k_14_nash,k_14_comp,k_14_EL,k_15_winners,k_15_num_winners,k_15_util,k_15_egal,k_15_nash,k_15_comp,k_15_EL,k_16_winners,k_16_num_winners,k_16_util,k_16_egal,k_16_nash,k_16_comp,k_16_EL,k_17_winners,k_17_num_winners,k_17_util,k_17_egal,k_17_nash,k_17_comp,k_17_EL,k_18_winners,k_18_num_winners,k_18_util,k_18_egal,k_18_nash,k_18_comp,k_18_EL,k_19_winners,k_19_num_winners,k_19_util,k_19_egal,k_19_nash,k_19_comp,k_19_EL
20,10,500,40,2,4,1,2,3,3,2,3,3,2,3,3,2,3,3,3,3,2,2,3,2,2,2,0 2 3 4 5 7 8 10 11 12 13 14 15 16 19,15,0.7846960525241152,0.6801357252898471,0,0,0,1 2 3 4 5 7 10 11 12 13 14 15 16 18 19,15,0.7844759555377623,0.6292079398274693,0,0,0,0 1 2 4 5 7 9 10 11 12 13 14 15 16 19,15,0.7936514084372854,0.6871924240711439,0,0,0,0 2 4 5 7 9 10 11 12 13 14 15 16 18 19,15,0.7926439163296892,0.6732398042062971,0,0,0,0 2 4 5 7 8 9 10 11 12 13 14 15 16 19,15,0.7916941317835547,0.6807416102956371,0,0,0,0 2 4 5 7 8 9 10 11 12 13 14 15 16 19,15,0.7916941317835547,0.6807416102956371,0,0,0,0 2 4 5 7 8 10 11 12 13 14 15 16 18 19,15,0.7945341555825598,0.6623414124020485,0,0,0,0 2 4 5 7 8 10 11 12 13 14 15 16 18 19,15,0.7945341555825598,0.6623414124020485,0,0,0,0 1 2 4 5 7 10 11 12 13 14 15 16 18 19,15,0.7964914322362905,0.6395747595173484,0,0,0,0 1 2 4 5 7 10 11 12 13 14 15 16 18 19,15,0.7964914322362905,0.6395747595173484,0,0,0,0 1 2 4 5 7 10 11 12 13 14 15 16 18 19,15,0.7964914322362905,0.6395747595173484,0,0,0,0 1 2 4 5 7 10 11 12 13 14 15 16 18 19,15,0.7964914322362905,0.6395747595173484,0,0,0,0 1 2 4 5 7 10 11 12 13 14 15 16 18 19,15,0.7964914322362905,0.6395747595173484,0,0,0,0 1 2 4 5 7 10 11 12 13 14 15 16 18 19,15,0.7964914322362905,0.6395747595173484,0,0,0,0 1 2 4 5 7 10 11 12 13 14 15 16 18 19,15,0.7964914322362905,0.6395747595173484,0,0,0,0 1 2 4 5 7 10 11 12 13 14 15 16 18 19,15,0.7964914322362905,0.6395747595173484,0,0,0,0 1 2 4 5 7 8 10 12 13 14 15 16 18 19,15,0.7924674338714535,0.6645919165523446,0,0,0,0 1 2 4 5 7 9 10 12 13 14 15 16 18 19,15,0.790577194618583,0.6780931334308254,0,0,0,1 2 4 7 9 10 11 12 13 14 15 16 17 18 19,15,0.7819159820434178,0.6448877054354076,0,0,0
20,10,500,40,2,4,1,3,3,2,2,3,2,2,2,3,2,2,3,3,2,2,3,3,3,2,2,0 2 3 4 5 6 7 8 9 11 13 14 15 16 17 18,16,0.8350875038866097,0.731799924341517,0,0,0,0 1 2 3 4 6 7 8 10 11 13 14 15 16 17 18,16,0.8369712301779992,0.7297202534326549,0,0,0,0 1 2 3 4 6 7 8 9 10 11 13 14 16 17 18,16,0.8371429300952257,0.7475084822901633,0,0,0,0 1 2 3 4 6 7 8 9 10 11 13 14 16 17 18,16,0.8371429300952257,0.7475084822901633,0,0,0,0 1 3 4 6 7 8 9 10 11 13 14 16 17 18 19,16,0.841296609096391,0.6883104743573376,0,0,0,0 1 3 4 6 7 8 9 10 11 13 14 16 17 18 19,16,0.841296609096391,0.6883104743573376,0,0,0,0 1 3 4 6 7 8 9 10 11 13 14 16 17 18 19,16,0.841296609096391,0.6883104743573376,0,0,0,0 1 3 4 6 7 8 9 10 11 13 14 16 17 18 19,16,0.841296609096391,0.6883104743573376,0,0,0,0 3 4 6 7 8 9 10 11 13 14 15 16 17 18 19,16,0.841522752616935,0.717927010763043,0,0,0,0 1 3 4 6 7 8 9 10 11 13 14 16 17 18 19,16,0.841296609096391,0.6883104743573376,0,0,0,0 1 3 4 6 7 8 9 10 11 13 14 16 17 18 19,16,0.841296609096391,0.6883104743573376,0,0,0,0 1 3 4 6 7 8 9 10 11 13 14 16 17 18 19,16,0.841296609096391,0.6883104743573376,0,0,0,0 1 3 4 5 6 7 8 10 11 13 14 16 17 18 19,16,0.839460614099237,0.7135699014798147,0,0,0,0 2 3 4 5 6 7 8 9 10 11 13 14 16 17 18 19,17,0.8809351239575735,0.7437107901558571,0,0,0,0 2 3 4 5 6 7 8 9 10 11 13 14 16 17 18 19,17,0.8809351239575735,0.7437107901558571,0,0,0,0 3 4 5 6 7 8 10 11 13 14 15 16 17 18 19,16,0.8396867576197812,0.734264897316611,0,0,0,0 2 3 4 5 6 7 8 11 13 14 15 16 17 18 19,16,0.8383994388847501,0.6966763266955237,0,0,0,0 2 3 4 5 6 7 8 11 13 14 15 16 17 18 19,16,0.8383994388847501,0.6966763266955237,0,0,0,0 2 3 4 5 6 7 8 11 13 14 15 16 17 18 19,16,0.8383994388847501,0.6966763266955237,0,0,0
20,10,500,40,2,4,1,3,2,2,3,2,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,0 2 3 4 5 6 7 8 9 10 14 15 16 17 18,15,0.7863509274320211,0.6834134689374531,0,0,0,0 2 4 5 6 7 8 9 10 12 14 15 16 17 18,15,0.7904912918454062,0.6924942795829561,0,0,0,0 2 4 5 6 7 8 9 10 12 14 15 16 17 18,15,0.7904912918454062,0.6924942795829561,0,0,0,0 2 4 5 6 7 8 9 10 12 14 15 16 17 18,15,0.7904912918454062,0.6924942795829561,0,0,0,0 2 3 4 5 6 7 8 9 12 14 15 16 17 18,15,0.7991281350163197,0.6857353841941575,0,0,0,0 2 3 4 5 6 7 8 9 12 14 15 16 17 18,15,0.7991281350163197,0.6857353841941575,0,0,0,0 2 3 4 5 6 7 8 9 12 14 15 16 17 18,15,0.7991281350163197,0.6857353841941575,0,0,0,0 2 3 4 5 6 7 8 9 12 14 15 16 17 18,15,0.7991281350163197,0.6857353841941575,0,0,0,0 2 3 4 5 6 7 8 9 12 14 15 16 17 18,15,0.7991281350163197,0.6857353841941575,0,0,0,0 2 3 5 6 7 8 9 12 13 14 15 16 17 18,15,0.7970952255302864,0.6818614181157632,0,0,0,0 2 3 4 5 7 8 9 12 13 14 15 16 17 18,15,0.7972089260825418,0.6874850483227435,0,0,0,0 2 3 4 5 6 7 8 9 12 14 15 16 17 18,15,0.7991281350163197,0.6857353841941575,0,0,0,0 2 4 5 6 7 8 9 12 13 14 15 16 17 18,15,0.7952709553848437,0.679350664555967,0,0,0,0 2 4 5 6 7 8 9 12 13 14 15 16 17 18,15,0.7952709553848437,0.679350664555967,0,0,0,0 2 3 5 6 7 8 9 12 13 14 15 16 17 18,15,0.7970952255302864,0.6818614181157632,0,0,0,0 2 3 4 5 6 7 8 9 12 13 15 16 17 18,15,0.7941484636216518,0.6772296408964518,0,0,0,0 2 3 4 5 6 7 8 9 12 14 15 16 17 18,15,0.7991281350163197,0.6857353841941575,0,0,0,0 2 3 4 5 6 7 8 9 12 13 14 15 17 18,15,0.7883738895574617,0.6776828577395639,0,0,0,0 2 3 5 6 7 8 9 12 13 14 15 16 17 18,15,0.7970952255302864,0.6818614181157632,0,0,0
20,10,500,40,2,4,1,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,3,2,3,0 1 2 4 5 6 7 8 10 11 12 13 14 17 19,15,0.7837562614423713,0.65499487250951,0,0,0,0 1 2 4 5 6 7 8 10 11 12 14 15 17 19,15,0.7919039388081098,0.6748408727369021,0,0,0,0 1 2 4 5 6 7 8 10 11 12 14 15 17 19,15,0.7919039388081098,0.6748408727369021,0,0,0,0 1 2 4 5 6 7 8 10 11 13 14 15 17 19,15,0.8008180579703934,0.6469470631830403,0,0,0,0 1 2 4 5 6 7 8 10 11 13 14 15 17 19,15,0.8008180579703934,0.6469470631830403,0,0,0,0 1 2 4 5 6 7 8 10 11 13 14 15 17 19,15,0.8008180579703934,0.6469470631830403,0,0,0,0 1 2 4 5 6 7 8 10 11 13 14 15 17 19,15,0.8008180579703934,0.6469470631830403,0,0,0,0 1 2 3 4 5 7 8 10 11 13 15 17 19,14,0.755824945011919,0.603392401245108,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 3 4 5 6 7 10 11 13 14 15 17 19,15,0.8027054613294244,0.6772912055178989,0,0,0,0 1 2 4 5 6 7 8 10 11 13 14 15 17 19,15,0.8008180579703934,0.6469470631830403,0,0,0
20,10,500,40,2,4,1,3,2,2,3,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,3,0 1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17,17,0.8602449234963876,0.775457938660821,0,0,0,0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17,17,0.8711005014894618,0.7662969858217396,0,0,0,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17,17,0.8796617913380256,0.7839242757779056,0,0,0,0 1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18,17,0.8808525846190948,0.7802818035840886,0,0,0,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17,17,0.8796617913380256,0.7839242757779056,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18,17,0.8866922639200596,0.7452137363467818,0,0,0,0 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18,17,0.8779512638198375,0.7191385373108382,0,0,0
20,10,500,40,2,4,1,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,3,2,2,0 2 3 4 5 6 8 9 10 11 12 13 14 16 17 18 19,17,0.8765158230164585,0.7697611793644848,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 1 2 3 4 5 6 8 9 10 11 12 14 15 16 17 18 19,18,0.9124972824998225,0.8201651762604,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 3 4 5 6 8 9 10 11 12 13 14 16 17 18 19,17,0.8765158230164585,0.7697611793644848,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8750876691462887,0.7694480113588167,0,0,0,0 2 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8750876691462887,0.7694480113588167,0,0,0,0 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19,17,0.8770235435507812,0.7344260939290489,0,0,0,0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,17,0.8674605475616366,0.778926028155662,0,0,0,0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19,18,0.9126812640661548,0.8033798854601343,0,0,0,0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 17 18 19,18,0.9048329849010821,0.8132358880276441,0,0,0
20,10,500,40,2,4,1,3,3,3,3,2,2,3,3,3,2,2,2,2,2,3,3,2,2,2,2,1 2 3 4 6 7 8 9 10 11 12 13 14 16 17 18,16,0.828575636608463,0.7214413613905988,0,0,0,1 2 3 4 5 6 7 8 9 10 11 13 14 16 17 18,16,0.8394365698508898,0.7107817583739435,0,0,0,0 1 2 3 4 6 7 8 9 10 11 13 14 16 17 18,16,0.8402065495259404,0.7339864902950626,0,0,0,0 1 2 3 4 5 6 8 9 10 11 13 14 16 17 18,16,0.8446195989830482,0.7480083634365577,0,0,0,0 1 2 3 4 5 6 8 9 10 11 13 14 16 17 18,16,0.8446195989830482,0.7480083634365577,0,0,0,0 1 2 3 4 5 7 8 9 10 11 13 14 16 17 18,16,0.8445927351326489,0.7010895808149054,0,0,0,0 1 2 3 4 5 6 8 9 10 11 13 14 16 17 18,16,0.8446195989830482,0.7480083634365577,0,0,0,0 1 2 3 4 5 6 8 9 10 11 13 14 16 17 18,16,0.8446195989830482,0.7480083634365577,0,0,0,0 1 2 3 4 5 7 8 9 10 11 13 14 16 17 18,16,0.8445927351326489,0.7010895808149054,0,0,0,0 1 2 3 4 5 7 8 9 10 11 13 14 16 17 18,16,0.8445927351326489,0.7010895808149054,0,0,0,0 1 2 3 4 5 7 8 9 10 11 13 14 16 17 18,16,0.8445927351326489,0.7010895808149054,0,0,0,0 1 2 3 4 5 6 7 8 9 10 13 14 16 17 18,16,0.8460448980787008,0.7414179960743212,0,0,0,0 1 2 3 4 5 6 7 8 9 10 13 14 16 17 18,16,0.8460448980787008,0.7414179960743212,0,0,0,0 1 2 3 4 5 6 7 8 9 10 13 14 16 17 18,16,0.8460448980787008,0.7414179960743212,0,0,0,0 1 2 3 4 5 7 8 9 10 11 13 14 16 17 18,16,0.8445927351326489,0.7010895808149054,0,0,0,0 1 2 3 4 5 7 8 9 10 11 13 14 16 17 18,16,0.8445927351326489,0.7010895808149054,0,0,0,0 1 2 3 4 5 6 7 8 9 11 13 14 16 17 18,16,0.8448624079559387,0.6414956493832742,0,0,0,0 1 2 3 4 5 6 7 8 9 11 13 14 16 17 18,16,0.8448624079559387,0.6414956493832742,0,0,0,0 1 2 3 4 5 6 7 8 9 11 13 14 16 17 18,16,0.8448624079559387,0.6414956493832742,0,0,0
20,10,500,40,2,4,1,3,3,2,3,3,3,2,2,2,2,3,3,3,3,3,3,2,3,3,2,0 1 4 5 6 8 10 11 12 13 14 15 17 18,14,0.7377844833067846,0.6334429895027512,0,0,0,0 1 5 6 7 8 9 10 11 12 14 15 17 18 19,15,0.7833631149943985,0.6617171271303156,0,0,0,0 1 2 5 6 7 8 9 10 12 14 15 17 18 19,15,0.7868455196640177,0.6673222069493945,0,0,0,0 1 2 5 6 7 8 9 10 12 14 15 16 17 18,15,0.7937109182087668,0.6746647698382748,0,0,0,0 1 2 5 6 7 8 9 10 12 14 15 16 17 18,15,0.7937109182087668,0.6746647698382748,0,0,0,0 1 2 5 6 7 8 9 10 12 14 15 16 17 18,15,0.7937109182087668,0.6746647698382748,0,0,0,1 2 4 5 6 7 8 9 10 12 14 15 16 17 18,15,0.8009103700462655,0.6660072730682491,0,0,0,1 2 4 5 6 7 8 9 10 12 14 15 16 17 18,15,0.8009103700462655,0.6660072730682491,0,0,0,1 2 4 5 6 8 9 10 11 12 14 15 16 17 18,15,0.7998298971273445,0.6856179236351722,0,0,0,1 2 4 5 6 8 9 10 12 14 15 16 17 18 19,15,0.8024122305892605,0.6914292732938069,0,0,0,1 2 4 5 6 8 9 10 12 14 15 16 17 18 19,15,0.8024122305892605,0.6914292732938069,0,0,0,1 2 4 5 6 8 9 10 12 14 15 16 17 18 19,15,0.8024122305892605,0.6914292732938069,0,0,0,1 2 4 5 6 8 9 10 12 14 15 16 17 18 19,15,0.8024122305892605,0.6914292732938069,0,0,0,1 2 4 5 6 8 9 10 12 14 15 16 17 18 19,15,0.8024122305892605,0.6914292732938069,0,0,0,1 2 4 5 6 8 9 10 12 14 15 16 17 18 19,15,0.8024122305892605,0.6914292732938069,0,0,0,1 2 4 5 6 8 9 10 12 14 15 16 17 18 19,15,0.8024122305892605,0.6914292732938069,0,0,0,1 2 4 5 6 8 9 10 12 14 15 16 17 18 19,15,0.8024122305892605,0.6914292732938069,0,0,0,1 3 4 5 6 8 9 10 12 14 15 16 17 18 19,15,0.7964745741757863,0.6938229099761535,0,0,0,0 1 4 5 6 7 8 9 10 12 14 15 16 17 18,15,0.7969118520708964,0.6663670263455389,0,0,0
20,10,500,40,2,4,1,2,3,2,2,3,2,2,3,2,3,3,3,3,2,2,2,3,2,3,3,0 1 2 3 4 7 9 10 11 12 13 15 16 17 19,15,0.7860610979907731,0.6482966104496883,0,0,0,0 1 2 3 4 6 8 9 10 11 13 15 16 17 18 19,16,0.8373780408479845,0.6871716110029226,0,0,0,0 1 2 3 4 8 9 10 11 13 14 15 16 17 18 19,16,0.8342539004388678,0.6773883614644932,0,0,0,0 1 2 3 4 5 8 9 11 12 13 15 16 17 18 19,16,0.8303645745873836,0.6826932496845125,0,0,0,0 1 2 3 4 7 9 10 11 13 15 16 17 18 19,15,0.7927930900979041,0.641340976106771,0,0,0,0 1 2 3 4 7 9 10 11 13 15 16 17 18 19,15,0.7927930900979041,0.641340976106771,0,0,0,0 1 2 3 4 6 9 10 11 13 14 15 16 17 18 19,16,0.8364556966484656,0.7295203834054315,0,0,0,0 1 2 3 4 6 9 10 11 13 14 15 16 17 18 19,16,0.8364556966484656,0.7295203834054315,0,0,0,0 1 2 3 4 6 9 10 11 13 14 15 16 17 18 19,16,0.8364556966484656,0.7295203834054315,0,0,0,0 1 2 3 4 6 8 9 10 11 13 15 16 17 18 19,16,0.8373780408479845,0.6871716110029226,0,0,0,0 1 2 3 4 7 9 10 11 13 15 16 17 18 19,15,0.7927930900979041,0.641340976106771,0,0,0,0 1 2 3 4 6 7 9 11 13 14 15 16 17 18 19,16,0.8361598514365766,0.7091315807937275,0,0,0,0 1 2 3 4 7 8 9 11 13 14 15 16 17 18 19,16,0.8339580552269787,0.68406588799069,0,0,0,0 1 2 3 4 6 8 9 11 13 14 15 16 17 18 19,16,0.83640526643179,0.6921611248399095,0,0,0,0 1 2 3 4 6 8 9 11 13 14 15 16 17 18 19,16,0.83640526643179,0.6921611248399095,0,0,0,0 1 2 3 4 6 8 9 10 11 13 15 16 17 18 19,16,0.8373780408479845,0.6871716110029226,0,0,0,0 1 2 3 4 6 7 8 9 10 11 13 15 16 17 19,16,0.8319271190833762,0.7306566941223471,0,0,0,0 1 2 3 4 6 8 9 11 12 13 14 15 16 17 19,16,0.8296732743246588,0.74171967783914,0,0,0,0 1 2 3 4 6 7 8 9 11 13 15 16 17 18 19,16,0.8370821956360954,0.7342058804795781,0,0,0
20,10,500,40,2,4,1,2,3,3,3,2,3,2,3,3,3,3,2,2,3,3,2,2,2,3,3,1 2 6 7 8 9 10 11 12 13 14 16 17 18 19,15,0.7859342888541053,0.673679044383097,0,0,0,0 1 2 6 7 9 10 11 12 13 14 16 17 18 19,15,0.7953877851487935,0.6994746245554744,0,0,0,0 1 2 6 7 8 9 10 11 12 13 16 17 18 19,15,0.8024424253330282,0.7160110675635252,0,0,0,0 1 2 4 6 7 9 10 11 12 13 15 16 17 18 19,16,0.8381473443183487,0.7281993000168573,0,0,0,0 1 2 4 6 7 9 10 11 12 13 15 16 17 18 19,16,0.8381473443183487,0.7281993000168573,0,0,0,0 1 2 4 6 7 9 10 11 12 13 15 16 17 18 19,16,0.8381473443183487,0.7281993000168573,0,0,0,0 1 2 5 6 7 9 10 11 12 13 15 16 18 19,15,0.8019047237015167,0.6625134015604571,0,0,0,0 1 2 4 6 7 9 10 11 12 13 15 16 17 18 19,16,0.8381473443183487,0.7281993000168573,0,0,0,0 1 2 5 6 7 9 10 11 12 13 16 17 18 19,15,0.8018963440626388,0.6946748628224085,0,0,0,0 1 2 5 6 7 9 10 11 12 13 16 17 18 19,15,0.8018963440626388,0.6946748628224085,0,0,0,0 1 2 5 6 7 9 10 11 12 13 16 17 18 19,15,0.8018963440626388,0.6946748628224085,0,0,0,0 1 2 5 6 7 9 10 11 12 13 16 17 18 19,15,0.8018963440626388,0.6946748628224085,0,0,0,0 1 2 5 6 7 9 10 11 12 13 16 17 18 19,15,0.8018963440626388,0.6946748628224085,0,0,0,0 1 2 4 6 7 9 10 11 12 13 15 16 17 18 19,16,0.8381473443183487,0.7281993000168573,0,0,0,0 1 2 5 6 7 9 10 11 12 13 16 17 18 19,15,0.8018963440626388,0.6946748628224085,0,0,0,0 1 2 5 6 7 9 10 11 12 13 15 16 18 19,15,0.8019047237015167,0.6625134015604571,0,0,0,0 1 2 5 6 7 9 10 11 12 13 16 17 18 19,15,0.8018963440626388,0.6946748628224085,0,0,0,0 1 2 5 6 8 9 10 11 12 13 16 17 18 19,15,0.7947993361226418,0.6814580195869294,0,0,0,0 1 2 4 5 6 9 10 11 12 13 15 16 17 18 19,16,0.8305042551079622,0.7117863545686349,0,0,0
