P,epsilon,N,budget,min_prize,max_prize,g,avg_len,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_10_winners,k_10_num_winners,k_10_util,k_10_egal,k_10_nash,k_10_comp,k_11_winners,k_11_num_winners,k_11_util,k_11_egal,k_11_nash,k_11_comp,k_12_winners,k_12_num_winners,k_12_util,k_12_egal,k_12_nash,k_12_comp,k_13_winners,k_13_num_winners,k_13_util,k_13_egal,k_13_nash,k_13_comp,k_14_winners,k_14_num_winners,k_14_util,k_14_egal,k_14_nash,k_14_comp,k_15_winners,k_15_num_winners,k_15_util,k_15_egal,k_15_nash,k_15_comp,k_16_winners,k_16_num_winners,k_16_util,k_16_egal,k_16_nash,k_16_comp,k_17_winners,k_17_num_winners,k_17_util,k_17_egal,k_17_nash,k_17_comp,k_18_winners,k_18_num_winners,k_18_util,k_18_egal,k_18_nash,k_18_comp,k_19_winners,k_19_num_winners,k_19_util,k_19_egal,k_19_nash,k_19_comp,k_20_winners,k_20_num_winners,k_20_util,k_20_egal,k_20_nash,k_20_comp,k_21_winners,k_21_num_winners,k_21_util,k_21_egal,k_21_nash,k_21_comp,k_22_winners,k_22_num_winners,k_22_util,k_22_egal,k_22_nash,k_22_comp,k_23_winners,k_23_num_winners,k_23_util,k_23_egal,k_23_nash,k_23_comp,k_24_winners,k_24_num_winners,k_24_util,k_24_egal,k_24_nash,k_24_comp,k_25_winners,k_25_num_winners,k_25_util,k_25_egal,k_25_nash,k_25_comp,k_26_winners,k_26_num_winners,k_26_util,k_26_egal,k_26_nash,k_26_comp,k_27_winners,k_27_num_winners,k_27_util,k_27_egal,k_27_nash,k_27_comp,k_28_winners,k_28_num_winners,k_28_util,k_28_egal,k_28_nash,k_28_comp,k_29_winners,k_29_num_winners,k_29_util,k_29_egal,k_29_nash,k_29_comp
30,10,500,40,15,25,1,2.0,19,23,19,22,18,24,23,22,21,24,19,20,20,23,23,23,21,19,17,19,16,16,24,24,17,23,19,15,16,24,20 13,2,0.07617828929033377,0.013666359810635138,-2.6088824361377854,5.432,20 13,2,0.07617828929033377,0.013666359810635138,-2.6088824361377854,5.432,12 20,2,0.07674835665269285,0.012005731952752275,-2.6005051767073635,6.336,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,10 12,2,0.07710761640558146,0.0184058698976766,-2.5941019641946337,4.802,10 12,2,0.07710761640558146,0.0184058698976766,-2.5941019641946337,4.802,10 12,2,0.07710761640558146,0.0184058698976766,-2.5941019641946337,4.802,12 20,2,0.07674835665269285,0.012005731952752275,-2.6005051767073635,6.336,12 20,2,0.07674835665269285,0.012005731952752275,-2.6005051767073635,6.336,12 20,2,0.07674835665269285,0.012005731952752275,-2.6005051767073635,6.336,12 20,2,0.07674835665269285,0.012005731952752275,-2.6005051767073635,6.336,12 20,2,0.07674835665269285,0.012005731952752275,-2.6005051767073635,6.336,12 20,2,0.07674835665269285,0.012005731952752275,-2.6005051767073635,6.336,12 20,2,0.07674835665269285,0.012005731952752275,-2.6005051767073635,6.336,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,20 23,2,0.07617263682886553,0.020745770574466568,-2.608341571410603,4.832,20 23,2,0.07617263682886553,0.020745770574466568,-2.608341571410603,4.832,20 23,2,0.07617263682886553,0.020745770574466568,-2.608341571410603,4.832,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248,25 20,2,0.07646811114645422,0.01272897806391081,-2.602291232017887,5.248
30,10,500,40,15,25,1,2.0,19,22,20,20,23,24,18,16,22,17,17,17,24,18,22,21,24,19,21,20,24,16,19,19,15,23,19,21,21,20,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 23,2,0.0768312699458935,0.016341880770869878,-2.6057602271944487,5.242,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832,28 13,2,0.07832120462304538,0.013505834184803635,-2.580997600199297,5.832
30,10,500,40,15,25,1,2.0,19,17,22,17,17,22,17,19,18,23,15,15,21,17,22,17,19,15,22,21,22,21,19,16,24,15,19,15,19,15,8 1,2,0.07813386179875777,0.023884639064871538,-2.5808222358898427,5.566,1 28,2,0.07975691825383663,0.026164753562407637,-2.561152562466787,5.882,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,22 7,2,0.07892853164389806,0.016135531225390427,-2.5704706543865252,4.56,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,1 22,2,0.08117351836919205,0.03197835972914797,-2.541785955163721,5.806,28 22,2,0.07977062684728535,0.023965628928596334,-2.5571743893611365,5.092
30,10,500,40,15,25,1,2.0,18,22,21,19,15,19,23,15,21,23,22,20,17,18,16,19,16,19,18,15,19,22,23,19,19,16,17,23,22,17,25 4,2,0.07922296335938779,0.0226838315545031,-2.566861957695293,4.638,19 4,2,0.07892518834684252,0.023541758072866636,-2.5746731945804275,4.92,18 4,2,0.07819501910328552,0.02476331186984526,-2.581559602847706,4.77,19 4,2,0.07892518834684252,0.023541758072866636,-2.5746731945804275,4.92,24 19,2,0.07763454668156565,0.015953589184062186,-2.5947050234628044,5.112,24 19,2,0.07763454668156565,0.015953589184062186,-2.5947050234628044,5.112,19 14,2,0.07889699362321824,0.02042006211303717,-2.574165327142432,4.73,19 14,2,0.07889699362321824,0.02042006211303717,-2.574165327142432,4.73,19 14,2,0.07889699362321824,0.02042006211303717,-2.574165327142432,4.73,19 14,2,0.07889699362321824,0.02042006211303717,-2.574165327142432,4.73,19 14,2,0.07889699362321824,0.02042006211303717,-2.574165327142432,4.73,19 14,2,0.07889699362321824,0.02042006211303717,-2.574165327142432,4.73,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 14,2,0.0791947686357635,0.02357068686289971,-2.565268569611572,4.448,25 4,2,0.07922296335938779,0.0226838315545031,-2.566861957695293,4.638,25 4,2,0.07922296335938779,0.0226838315545031,-2.566861957695293,4.638,0 4,2,0.07682544789134099,0.02186022979366408,-2.595215313018433,4.194,25 4,2,0.07922296335938779,0.0226838315545031,-2.566861957695293,4.638,0 25,2,0.076520562139797,0.019040412422405617,-2.598312522448877,3.972,25 4,2,0.07922296335938779,0.0226838315545031,-2.566861957695293,4.638
30,10,500,40,15,25,1,2.0,21,23,19,24,15,22,18,24,19,15,24,23,19,19,21,22,17,19,19,19,17,18,20,18,19,18,18,16,16,15,0 24,2,0.07865668496592929,0.029036175852087304,-2.5741994770513883,5.936,0 24,2,0.07865668496592929,0.029036175852087304,-2.5741994770513883,5.936,0 17,2,0.07818660215000926,0.022657770679907187,-2.5800304580777165,5.708,0 27,2,0.07791895096336801,0.02428181098839333,-2.5830268722140253,5.548,0 17,2,0.07818660215000926,0.022657770679907187,-2.5800304580777165,5.708,0 2,2,0.0789383011232519,0.033319279517650846,-2.5698622628248,5.746,27 5,2,0.0768920904556595,0.01961404205615929,-2.5986577761673217,4.076,0 2,2,0.0789383011232519,0.033319279517650846,-2.5698622628248,5.746,0 2,2,0.0789383011232519,0.033319279517650846,-2.5698622628248,5.746,0 2,2,0.0789383011232519,0.033319279517650846,-2.5698622628248,5.746,0 2,2,0.0789383011232519,0.033319279517650846,-2.5698622628248,5.746,0 2,2,0.0789383011232519,0.033319279517650846,-2.5698622628248,5.746,0 2,2,0.0789383011232519,0.033319279517650846,-2.5698622628248,5.746,24 2,2,0.07888592879320697,0.018819001475368025,-2.568465146392346,5.13,24 2,2,0.07888592879320697,0.018819001475368025,-2.568465146392346,5.13,24 2,2,0.07888592879320697,0.018819001475368025,-2.568465146392346,5.13,24 2,2,0.07888592879320697,0.018819001475368025,-2.568465146392346,5.13,24 2,2,0.07888592879320697,0.018819001475368025,-2.568465146392346,5.13,24 2,2,0.07888592879320697,0.018819001475368025,-2.568465146392346,5.13,24 2,2,0.07888592879320697,0.018819001475368025,-2.568465146392346,5.13,0 2,2,0.0789383011232519,0.033319279517650846,-2.5698622628248,5.746,2 27,2,0.07814819479064568,0.02730442166689519,-2.5761071711004195,4.742,2 27,2,0.07814819479064568,0.02730442166689519,-2.5761071711004195,4.742,2 27,2,0.07814819479064568,0.02730442166689519,-2.5761071711004195,4.742,2 27,2,0.07814819479064568,0.02730442166689519,-2.5761071711004195,4.742,24 27,2,0.07786657863332305,0.02167197550739209,-2.5836202528011722,4.932,2 27,2,0.07814819479064568,0.02730442166689519,-2.5761071711004195,4.742,24 2,2,0.07888592879320697,0.018819001475368025,-2.568465146392346,5.13,9 2,2,0.0770737944914026,0.01998903283545836,-2.59640890665339,4.24
30,10,500,40,15,25,1,2.0,18,18,24,18,17,24,18,20,16,19,19,15,15,20,22,17,16,17,15,18,22,24,17,17,16,19,23,18,16,20,25 13,2,0.07384780280022084,0.021331704785840153,-2.6429014473878887,4.222,2 12,2,0.07328631908330706,0.018415518679796294,-2.649364870903711,3.354,24 2,2,0.07462656884643354,0.023195842795245655,-2.6336974507719417,3.504,24 2,2,0.07462656884643354,0.023195842795245655,-2.6336974507719417,3.504,24 2,2,0.07462656884643354,0.023195842795245655,-2.6336974507719417,3.504,8 13,2,0.07445747125649681,0.020762074808424673,-2.6324235404788094,4.088,8 13,2,0.07445747125649681,0.020762074808424673,-2.6324235404788094,4.088,8 22,2,0.07304542355937671,0.017710971055515543,-2.6535292663694254,3.53,8 22,2,0.07304542355937671,0.017710971055515543,-2.6535292663694254,3.53,8 22,2,0.07304542355937671,0.017710971055515543,-2.6535292663694254,3.53,8 22,2,0.07304542355937671,0.017710971055515543,-2.6535292663694254,3.53,13 22,2,0.07395617743295323,0.016519890990585227,-2.6455543518792237,4.162,8 2,2,0.07441926079920594,0.01427116422019135,-2.631224274261772,3.312,8 13,2,0.07445747125649681,0.020762074808424673,-2.6324235404788094,4.088,8 2,2,0.07441926079920594,0.01427116422019135,-2.631224274261772,3.312,8 2,2,0.07441926079920594,0.01427116422019135,-2.631224274261772,3.312,8 2,2,0.07441926079920594,0.01427116422019135,-2.631224274261772,3.312,8 13,2,0.07445747125649681,0.020762074808424673,-2.6324235404788094,4.088,8 2,2,0.07441926079920594,0.01427116422019135,-2.631224274261772,3.312,8 2,2,0.07441926079920594,0.01427116422019135,-2.631224274261772,3.312,8 2,2,0.07441926079920594,0.01427116422019135,-2.631224274261772,3.312,8 2,2,0.07441926079920594,0.01427116422019135,-2.631224274261772,3.312,8 2,2,0.07441926079920594,0.01427116422019135,-2.631224274261772,3.312,24 2,2,0.07462656884643354,0.023195842795245655,-2.6336974507719417,3.504,24 13,2,0.0746647793037244,0.018913206689045232,-2.631010740964663,4.28,29 13,2,0.07285606020073883,0.027581488204003506,-2.6531364764552414,3.88,24 2,2,0.07462656884643354,0.023195842795245655,-2.6336974507719417,3.504,24 1,2,0.0732824675134571,0.017352754341300368,-2.649994587785614,3.648,2 11,2,0.07117143263931357,0.015002000435918313,-2.68149520138922,2.724
30,10,500,40,15,25,1,2.0,19,23,22,17,21,18,22,24,19,16,22,17,17,18,24,23,20,23,23,22,20,16,16,21,20,21,16,17,20,23,21 6,2,0.07625651527713297,0.02215426208489621,-2.6093870706346305,5.036,21 23,2,0.07571061311680531,0.028957549402382536,-2.6143330005286134,5.232,21 23,2,0.07571061311680531,0.028957549402382536,-2.6143330005286134,5.232,18 21,2,0.07641353333979962,0.020339984994123764,-2.603628735525932,4.582,18 21,2,0.07641353333979962,0.020339984994123764,-2.603628735525932,4.582,18 27,2,0.07646097284063978,0.024144443326099406,-2.603392110277867,4.048,18 27,2,0.07646097284063978,0.024144443326099406,-2.603392110277867,4.048,18 27,2,0.07646097284063978,0.024144443326099406,-2.603392110277867,4.048,18 21,2,0.07641353333979962,0.020339984994123764,-2.603628735525932,4.582,21 6,2,0.07625651527713297,0.02215426208489621,-2.6093870706346305,5.036,21 6,2,0.07625651527713297,0.02215426208489621,-2.6093870706346305,5.036,21 6,2,0.07625651527713297,0.02215426208489621,-2.6093870706346305,5.036,27 6,2,0.07630395477797311,0.01320787974036421,-2.6120009147492453,4.502,11 6,2,0.07585801132349741,0.017146155715005204,-2.614847644349286,4.74,18 27,2,0.07646097284063978,0.024144443326099406,-2.603392110277867,4.048,18 27,2,0.07646097284063978,0.024144443326099406,-2.603392110277867,4.048,18 21,2,0.07641353333979962,0.020339984994123764,-2.603628735525932,4.582,18 27,2,0.07646097284063978,0.024144443326099406,-2.603392110277867,4.048,18 27,2,0.07646097284063978,0.024144443326099406,-2.603392110277867,4.048,18 11,2,0.07601502938616408,0.02496378804303597,-2.6095049326789357,4.286,18 11,2,0.07601502938616408,0.02496378804303597,-2.6095049326789357,4.286,18 11,2,0.07601502938616408,0.02496378804303597,-2.6095049326789357,4.286,18 11,2,0.07601502938616408,0.02496378804303597,-2.6095049326789357,4.286,18 11,2,0.07601502938616408,0.02496378804303597,-2.6095049326789357,4.286,18 21,2,0.07641353333979962,0.020339984994123764,-2.603628735525932,4.582,18 21,2,0.07641353333979962,0.020339984994123764,-2.603628735525932,4.582,18 21,2,0.07641353333979962,0.020339984994123764,-2.603628735525932,4.582,21 6,2,0.07625651527713297,0.02215426208489621,-2.6093870706346305,5.036,11 6,2,0.07585801132349741,0.017146155715005204,-2.614847644349286,4.74
30,10,500,40,15,25,1,2.0,19,18,23,18,23,18,16,24,24,21,20,15,17,19,19,19,24,21,19,15,16,23,19,23,18,21,16,16,19,15,8 6,2,0.07645478921502108,0.02258570763062005,-2.6034382112774628,4.336,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,0 25,2,0.07984003897272973,0.019265623451938527,-2.5570569136448253,5.616,25 22,2,0.08042313745025292,0.016313868163920192,-2.5475778860683946,5.616,25 22,2,0.08042313745025292,0.016313868163920192,-2.5475778860683946,5.616,0 25,2,0.07984003897272973,0.019265623451938527,-2.5570569136448253,5.616,25 22,2,0.08042313745025292,0.016313868163920192,-2.5475778860683946,5.616,25 22,2,0.08042313745025292,0.016313868163920192,-2.5475778860683946,5.616,25 22,2,0.08042313745025292,0.016313868163920192,-2.5475778860683946,5.616,25 22,2,0.08042313745025292,0.016313868163920192,-2.5475778860683946,5.616,0 25,2,0.07984003897272973,0.019265623451938527,-2.5570569136448253,5.616,0 25,2,0.07984003897272973,0.019265623451938527,-2.5570569136448253,5.616,0 25,2,0.07984003897272973,0.019265623451938527,-2.5570569136448253,5.616,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,25 11,2,0.08049217030220926,0.034457491677117785,-2.5468378740765893,5.568,8 11,2,0.07893200260049665,0.03147133800901641,-2.566434795803586,4.236
30,10,500,40,15,25,1,2.0,22,23,17,16,18,23,19,20,19,19,19,23,18,21,16,21,18,21,21,20,20,21,15,22,15,16,17,23,22,22,3 11,2,0.07738185783655924,0.015922596774254026,-2.593117613228014,4.84,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,3 11,2,0.07738185783655924,0.015922596774254026,-2.593117613228014,4.84,3 11,2,0.07738185783655924,0.015922596774254026,-2.593117613228014,4.84,3 11,2,0.07738185783655924,0.015922596774254026,-2.593117613228014,4.84,11 14,2,0.07797290656009107,0.02667983646195752,-2.5826999210337607,4.296,11 14,2,0.07797290656009107,0.02667983646195752,-2.5826999210337607,4.296,11 14,2,0.07797290656009107,0.02667983646195752,-2.5826999210337607,4.296,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,26 11,2,0.0778747749732824,0.027088801336478355,-2.581108572717713,4.54,26 11,2,0.0778747749732824,0.027088801336478355,-2.581108572717713,4.54,24 9,2,0.07701872435780967,0.023131682481055748,-2.594118922041102,4.504,24 7,2,0.07554505163396115,0.019636086605177825,-2.6155181293455945,3.81,24 9,2,0.07701872435780967,0.023131682481055748,-2.594118922041102,4.504,24 11,2,0.07885656010514251,0.017795459234269013,-2.569169415983254,4.514,24 26,2,0.07630622417382443,0.024627909695403086,-2.6003188000920363,5.006,24 26,2,0.07630622417382443,0.024627909695403086,-2.6003188000920363,5.006,24 7,2,0.07554505163396115,0.019636086605177825,-2.6155181293455945,3.81
30,10,500,40,15,25,1,2.0,16,21,19,23,19,17,17,18,21,15,20,24,20,18,16,15,20,20,17,18,19,18,22,19,18,24,20,22,19,23,18 3,2,0.07926348378329245,0.023073322956221984,-2.563420183977633,4.642,18 3,2,0.07926348378329245,0.023073322956221984,-2.563420183977633,4.642,18 5,2,0.0792098252808271,0.01946474650043649,-2.5688772653896064,5.168,16 18,2,0.07883998470088605,0.024727015184226084,-2.5733985153736696,5.178,18 5,2,0.0792098252808271,0.01946474650043649,-2.5688772653896064,5.168,18 5,2,0.0792098252808271,0.01946474650043649,-2.5688772653896064,5.168,18 5,2,0.0792098252808271,0.01946474650043649,-2.5688772653896064,5.168,18 5,2,0.0792098252808271,0.01946474650043649,-2.5688772653896064,5.168,18 5,2,0.0792098252808271,0.01946474650043649,-2.5688772653896064,5.168,16 18,2,0.07883998470088605,0.024727015184226084,-2.5733985153736696,5.178,16 18,2,0.07883998470088605,0.024727015184226084,-2.5733985153736696,5.178,18 5,2,0.0792098252808271,0.01946474650043649,-2.5688772653896064,5.168,16 5,2,0.07899029983493791,0.015661738407276554,-2.5676733008529227,5.11,16 5,2,0.07899029983493791,0.015661738407276554,-2.5676733008529227,5.11,18 5,2,0.0792098252808271,0.01946474650043649,-2.5688772653896064,5.168,16 18,2,0.07883998470088605,0.024727015184226084,-2.5733985153736696,5.178,16 18,2,0.07883998470088605,0.024727015184226084,-2.5733985153736696,5.178,16 5,2,0.07899029983493791,0.015661738407276554,-2.5676733008529227,5.11,18 3,2,0.07926348378329245,0.023073322956221984,-2.563420183977633,4.642,18 3,2,0.07926348378329245,0.023073322956221984,-2.563420183977633,4.642,16 18,2,0.07883998470088605,0.024727015184226084,-2.5733985153736696,5.178,16 18,2,0.07883998470088605,0.024727015184226084,-2.5733985153736696,5.178,16 18,2,0.07883998470088605,0.024727015184226084,-2.5733985153736696,5.178,16 18,2,0.07883998470088605,0.024727015184226084,-2.5733985153736696,5.178,3 5,2,0.0794137989173443,0.03392888609402576,-2.5602164271404493,4.574,18 3,2,0.07926348378329245,0.023073322956221984,-2.563420183977633,4.642,3 5,2,0.0794137989173443,0.03392888609402576,-2.5602164271404493,4.574,3 5,2,0.0794137989173443,0.03392888609402576,-2.5602164271404493,4.574,3 5,2,0.0794137989173443,0.03392888609402576,-2.5602164271404493,4.574
